country_name,year,norm_educ,norm_mortality,norm_gini,norm_poverty
Denmark,2012,0.1186548169403661,0.3421052631578947,0,0
Denmark,2013,0.07296955034648578,0.3421052631578947,0.034013605442176895,0
Denmark,2014,0.05774110797774895,0.3421052631578947,0.04761904761904766,0.007874015748031503
Denmark,2015,0.0983502674569371,0.3421052631578947,0.09523809523809532,0.007874015748031503
Denmark,2016,0.07868018976061737,0.3421052631578947,0.08163265306122455,0.03149606299212601
Denmark,2017,0.1332487270096629,0.31578947368421045,0.10204081632653068,0.055118110236220465
Denmark,2018,0.13959389872323452,0.2894736842105262,0.09523809523809532,0.07874015748031497
Denmark,2019,0.1421319674086633,0.2631578947368421,0.1292517006802722,0.08661417322834648
France,2012,0.4670050919613447,0.23684210526315788,0.3809523809523809,0.24409448818897642
France,2013,0.5044416504556654,0.23684210526315788,0.28571428571428553,0.1968503937007874
France,2014,0.5088832555270816,0.23684210526315788,0.2993197278911563,0.2125984251968504
France,2015,0.5387056079651151,0.2631578947368421,0.31292517006802706,0.2125984251968504
France,2016,0.5368020110667963,0.2631578947368421,0.28571428571428553,0.22834645669291342
France,2017,0.5044416504556654,0.2894736842105262,0.2925170068027209,0.2125984251968504
France,2018,0.48223350407391874,0.31578947368421045,0.35374149659863935,0.24409448818897642
France,2019,0.4530456839353226,0.31578947368421045,0.2925170068027209,0.23622047244094493
Germany,2012,0.10279187252835462,0.31578947368421045,0.27210884353741477,0.23622047244094493
Germany,2013,0.048857867578748534,0.2894736842105262,0.2925170068027209,0.29133858267716534
Germany,2014,0.055837571591759595,0.2894736842105262,0.27210884353741477,0.3228346456692913
Germany,2015,0.04378173020789159,0.2894736842105262,0.2993197278911563,0.3700787401574804
Germany,2016,0.07677665337462863,0.2894736842105262,0.3061224489795917,0.39370078740157477
Germany,2017,0.04949239987818863,0.2894736842105262,0.27210884353741477,0.39370078740157477
Germany,2018,0.026649751453165407,0.2631578947368421,0.27210884353741477,0.3464566929133859
Germany,2019,0.011421309084428578,0.2631578947368421,0.31972789115646244,0.4330708661417323
Greece,2015,0.788071052973553,0.4210526315789473,0.6190476190476192,0.7480314960629921
Greece,2012,0.993020265730821,0.3421052631578947,0.6054421768707484,0.7480314960629921
Greece,2013,1,0.3684210526315789,0.6326530612244899,0.7637795275590551
Greece,2014,0.9130711323959851,0.39473684210526316,0.6122448979591838,0.7401574803149606
Greece,2016,0.6827411117597704,0.4473684210526315,0.5714285714285715,0.7086614173228346
Greece,2017,0.6598984935909095,0.4210526315789473,0.47619047619047616,0.5669291338582678
Greece,2018,0.5843908443028307,0.39473684210526316,0.38775510204081626,0.5275590551181103
Greece,2019,0.47588830210417715,0.39473684210526316,0.401360544217687,0.4803149606299213
Hungary,2019,0.3502538114069667,0.31578947368421045,0.2517006802721087,0.2992125984251968
Hungary,2012,0.5901015139731284,0.6842105263157894,0.20408163265306137,0.24409448818897642
Hungary,2013,0.6338832744371841,0.6578947368421053,0.2517006802721087,0.2519685039370078
Hungary,2014,0.5164974615833685,0.6052631578947368,0.21768707482993213,0.2598425196850393
Hungary,2015,0.38705583760184986,0.5263157894736842,0.2380952380952379,0.24409448818897642
Hungary,2016,0.35342641239183753,0.47368421052631576,0.21088435374149675,0.1811023622047244
Hungary,2017,0.35279188009239365,0.39473684210526316,0.27210884353741477,0.20472440944881892
Hungary,2018,0.3331218023960738,0.3421052631578947,0.21088435374149675,0.2598425196850393
Portugal,2019,0.16116754306170844,0.15789473684210517,0.4149659863945578,0.4094488188976378
Portugal,2012,0.534898474680807,0.21052631578947364,0.598639455782313,0.5984251968503937
Portugal,2013,0.5450507494225207,0.21052631578947364,0.6258503401360546,0.6377952755905513
Portugal,2014,0.4314720698530135,0.21052631578947364,0.6054421768707484,0.6377952755905513
Portugal,2015,0.36738582041785967,0.21052631578947364,0.5918367346938777,0.5590551181102362
Portugal,2016,0.32170052356781453,0.21052631578947364,0.5578231292517007,0.5590551181102362
Portugal,2017,0.24492387019318337,0.21052631578947364,0.48299319727891155,0.41732283464566927
Portugal,2018,0.18337562893112613,0.1842105263157894,0.4625850340136054,0.39370078740157477
Sweden,2019,0,0,0.19047619047619063,0.29133858267716534
Sweden,2018,0.034263957509451125,0,0.1632653061224491,0.2598425196850393
Sweden,2017,0.04251269586517689,0.02631578947368412,0.22448979591836715,0.30708661417322836
Sweden,2016,0.06345177764804594,0.02631578947368412,0.21088435374149675,0.26771653543307083
Sweden,2015,0.07868018976061737,0.02631578947368412,0.18367346938775525,0.2755905511811023
Sweden,2014,0.10659897555649749,0.052631578947368356,0.15646258503401372,0.2598425196850393
Sweden,2013,0.12436548661066309,0.052631578947368356,0.12244897959183683,0.23622047244094493
"United Kingdom",2013,0.4923857788156325,0.47368421052631576,0.7414965986394556,0.39370078740157477
"United Kingdom",2012,0.5329949382948176,0.4999999999999999,0.6938775510204079,0.40157480314960625
"United Kingdom",2019,0.3197969871818252,0.39473684210526316,0.7959183673469387,0.5511811023622047
"United Kingdom",2018,0.31535532159807295,0.39473684210526316,0.7959183673469387,0.49606299212598426
"United Kingdom",2017,0.3064721114552405,0.4210526315789473,0.7346938775510202,0.5118110236220472
"United Kingdom",2016,0.34327413765012366,0.4210526315789473,0.6938775510204079,0.4488188976377953
"United Kingdom",2015,0.35342641239183753,0.4210526315789473,0.7551020408163264,0.4330708661417323
"United Kingdom",2014,0.4048223183998443,0.4473684210526315,0.7278911564625848,0.40157480314960625
"United States",2013,0.5647208271188405,1,1,0.9291338582677164
