country_name,year,norm_edu,norm_mortality,norm_gini,norm_poverty
Denmark,2013,0.07296955034648578,0.3421052631578947,0,0
"United States",2013,0.5647208271188405,1,1,0.9291338582677164
"United Kingdom",2013,0.4923857788156325,0.47368421052631576,0.7323943661971829,0.39370078740157477
Sweden,2013,0.12436548661066309,0.052631578947368356,0.09154929577464796,0.23622047244094493
France,2013,0.5044416504556654,0.23684210526315788,0.26056338028168996,0.1968503937007874
Portugal,2013,0.5450507494225207,0.21052631578947364,0.6126760563380282,0.6377952755905513
Hungary,2013,0.6338832744371841,0.6578947368421053,0.22535211267605612,0.2519685039370078
Germany,2013,0.048857867578748534,0.2894736842105262,0.2676056338028167,0.29133858267716534
Greece,2013,1,0.3684210526315789,0.619718309859155,0.7637795275590551
Denmark,2014,0.05774110797774895,0.3421052631578947,0.014084507042253532,0.007874015748031503
"United States",2014,0.5019035817702385,0.9736842105263159,0.9859154929577465,0.952755905511811
"United Kingdom",2014,0.4048223183998443,0.4473684210526315,0.7183098591549294,0.40157480314960625
France,2014,0.5088832555270816,0.23684210526315788,0.27464788732394346,0.2125984251968504
Sweden,2014,0.10659897555649749,0.052631578947368356,0.1267605633802818,0.2598425196850393
Portugal,2014,0.4314720698530135,0.21052631578947364,0.591549295774648,0.6377952755905513
Hungary,2014,0.5164974615833685,0.6052631578947368,0.19014084507042267,0.2598425196850393
Germany,2014,0.055837571591759595,0.2894736842105262,0.24647887323943643,0.3228346456692913
Greece,2014,0.9130711323959851,0.39473684210526316,0.5985915492957747,0.7401574803149606
Hungary,2015,0.38705583760184986,0.5263157894736842,0.2112676056338026,0.24409448818897642
Greece,2015,0.788071052973553,0.4210526315789473,0.6056338028169015,0.7480314960629921
Germany,2015,0.04378173020789159,0.2894736842105262,0.27464788732394346,0.3700787401574804
"United States",2015,0.4416243445947274,0.9473684210526315,0.9577464788732394,0.8976377952755907
Denmark,2015,0.0983502674569371,0.3421052631578947,0.0633802816901409,0.007874015748031503
"United Kingdom",2015,0.35342641239183753,0.4210526315789473,0.7464788732394364,0.4330708661417323
Portugal,2015,0.36738582041785967,0.21052631578947364,0.5774647887323944,0.5590551181102362
France,2015,0.5387056079651151,0.2631578947368421,0.288732394366197,0.2125984251968504
Sweden,2015,0.07868018976061737,0.02631578947368412,0.15492957746478886,0.2755905511811023
"United States",2016,0.41497465365389413,0.9210526315789475,0.9647887323943661,0.9763779527559054
Germany,2016,0.07677665337462863,0.2894736842105262,0.28169014084507027,0.39370078740157477
Greece,2016,0.6827411117597704,0.4473684210526315,0.5563380281690141,0.7086614173228346
Denmark,2016,0.07868018976061737,0.3421052631578947,0.04929577464788736,0.03149606299212601
Hungary,2016,0.35342641239183753,0.47368421052631576,0.18309859154929592,0.1811023622047244
"United Kingdom",2016,0.34327413765012366,0.4210526315789473,0.6830985915492955,0.4488188976377953
France,2016,0.5368020110667963,0.2631578947368421,0.26056338028168996,0.22834645669291342
Portugal,2016,0.32170052356781453,0.21052631578947364,0.5422535211267606,0.5590551181102362
Sweden,2016,0.06345177764804594,0.02631578947368412,0.18309859154929592,0.26771653543307083
"United States",2017,0.3483502750209774,0.9210526315789475,0.9577464788732394,0.9763779527559054
Greece,2017,0.6598984935909095,0.4210526315789473,0.4577464788732394,0.5669291338582678
Denmark,2017,0.1332487270096629,0.31578947368421045,0.07042253521126766,0.055118110236220465
Germany,2017,0.04949239987818863,0.2894736842105262,0.24647887323943643,0.39370078740157477
Hungary,2017,0.35279188009239365,0.39473684210526316,0.24647887323943643,0.20472440944881892
"United Kingdom",2017,0.3064721114552405,0.4210526315789473,0.7253521126760561,0.5118110236220472
France,2017,0.5044416504556654,0.2894736842105262,0.2676056338028167,0.2125984251968504
Portugal,2017,0.24492387019318337,0.21052631578947364,0.4647887323943662,0.41732283464566927
Sweden,2017,0.04251269586517689,0.02631578947368412,0.19718309859154906,0.30708661417322836
Sweden,2018,0.034263957509451125,0,0.13380281690140855,0.2598425196850393
Portugal,2018,0.18337562893112613,0.1842105263157894,0.4436619718309859,0.39370078740157477
Denmark,2018,0.13959389872323452,0.2894736842105262,0.0633802816901409,0.07874015748031497
"United Kingdom",2018,0.31535532159807295,0.39473684210526316,0.788732394366197,0.49606299212598426
Hungary,2018,0.3331218023960738,0.3421052631578947,0.18309859154929592,0.2598425196850393
France,2018,0.48223350407391874,0.31578947368421045,0.33098591549295764,0.24409448818897642
Greece,2018,0.5843908443028307,0.39473684210526316,0.36619718309859145,0.5275590551181103
Germany,2018,0.026649751453165407,0.2631578947368421,0.24647887323943643,0.3464566929133859
"United States",2018,0.34517767403610655,0.894736842105263,0.9788732394366197,1
Sweden,2019,0,0,0.1619718309859156,0.29133858267716534
Denmark,2019,0.1421319674086633,0.2631578947368421,0.09859154929577472,0.08661417322834648
"United Kingdom",2019,0.3197969871818252,0.39473684210526316,0.788732394366197,0.5511811023622047
Portugal,2019,0.16116754306170844,0.15789473684210517,0.3943661971830985,0.4094488188976378
France,2019,0.4530456839353226,0.31578947368421045,0.2676056338028167,0.23622047244094493
Hungary,2019,0.3502538114069667,0.31578947368421045,0.22535211267605612,0.2992125984251968
Greece,2019,0.47588830210417715,0.39473684210526316,0.38028169014084495,0.4803149606299213
Germany,2019,0.011421309084428578,0.2631578947368421,0.29577464788732377,0.4330708661417323
"United States",2019,0.31281725291264617,0.868421052631579,0.9929577464788732,0.9921259842519685
